year_month,uf,product,unit,volume,created_at
2013-01-01,RO,ÓLEO DIESEL S-10 ,m3,3517.6,2022-03-18
2013-01-01,AC,ÓLEO DIESEL S-10 ,m3,363.0,2022-03-18
2013-01-01,AM,ÓLEO DIESEL S-10 ,m3,3190.58,2022-03-18
2013-01-01,RR,ÓLEO DIESEL S-10 ,m3,795.4,2022-03-18
2013-01-01,PA,ÓLEO DIESEL S-10 ,m3,30137.8,2022-03-18
2013-01-01,AP,ÓLEO DIESEL S-10 ,m3,252.5,2022-03-18
2013-01-01,TO,ÓLEO DIESEL S-10 ,m3,6365.0,2022-03-18
2013-01-01,MA,ÓLEO DIESEL S-10 ,m3,8896.45,2022-03-18
2013-01-01,PI,ÓLEO DIESEL S-10 ,m3,4048.0,2022-03-18
2013-01-01,CE,ÓLEO DIESEL S-10 ,m3,56758.65,2022-03-18
2013-01-01,RN,ÓLEO DIESEL S-10 ,m3,2722.0,2022-03-18
2013-01-01,PB,ÓLEO DIESEL S-10 ,m3,2401.5,2022-03-18
2013-01-01,PE,ÓLEO DIESEL S-10 ,m3,94832.55,2022-03-18
2013-01-01,AL,ÓLEO DIESEL S-10 ,m3,4078.0,2022-03-18
2013-01-01,SE,ÓLEO DIESEL S-10 ,m3,4191.5,2022-03-18
2013-01-01,BA,ÓLEO DIESEL S-10 ,m3,25274.12,2022-03-18
2013-01-01,MG,ÓLEO DIESEL S-10 ,m3,46251.41,2022-03-18
2013-01-01,ES,ÓLEO DIESEL S-10 ,m3,7078.0,2022-03-18
2013-01-01,RJ,ÓLEO DIESEL S-10 ,m3,71139.0,2022-03-18
2013-01-01,SP,ÓLEO DIESEL S-10 ,m3,151757.57,2022-03-18
2013-01-01,PR,ÓLEO DIESEL S-10 ,m3,37690.95,2022-03-18
2013-01-01,SC,ÓLEO DIESEL S-10 ,m3,23309.0,2022-03-18
2013-01-01,RS,ÓLEO DIESEL S-10 ,m3,26753.39,2022-03-18
2013-01-01,MS,ÓLEO DIESEL S-10 ,m3,8782.7,2022-03-18
2013-01-01,MT,ÓLEO DIESEL S-10 ,m3,14014.79,2022-03-18
2013-01-01,GO,ÓLEO DIESEL S-10 ,m3,14061.55,2022-03-18
2013-01-01,DF,ÓLEO DIESEL S-10 ,m3,2976.5,2022-03-18
