year_month,uf,product,unit,volume,created_at
2000-1,RO,GASOLINA C ,m3,9563.26,2022-03-17
2000-1,AC,GASOLINA C ,m3,3065.76,2022-03-17
2000-1,AM,GASOLINA C ,m3,17615.6,2022-03-17
2000-1,RR,GASOLINA C ,m3,3259.3,2022-03-17
2000-1,PA,GASOLINA C ,m3,28830.48,2022-03-17
2000-1,AP,GASOLINA C ,m3,3456.35,2022-03-17
2000-1,TO,GASOLINA C ,m3,6961.52,2022-03-17
2000-1,MA,GASOLINA C ,m3,16751.08,2022-03-17
2000-1,PI,GASOLINA C ,m3,8452.2,2022-03-17
2000-1,CE,GASOLINA C ,m3,38492.51,2022-03-17
2000-1,RN,GASOLINA C ,m3,19130.2,2022-03-17
2000-1,PB,GASOLINA C ,m3,20166.05,2022-03-17
2000-1,PE,GASOLINA C ,m3,51905.71,2022-03-17
2000-1,AL,GASOLINA C ,m3,14001.15,2022-03-17
2000-1,SE,GASOLINA C ,m3,12292.88,2022-03-17
2000-1,BA,GASOLINA C ,m3,79545.22,2022-03-17
2000-1,MG,GASOLINA C ,m3,182555.48,2022-03-17
2000-1,ES,GASOLINA C ,m3,43744.62,2022-03-17
2000-1,RJ,GASOLINA C ,m3,152471.32,2022-03-17
2000-1,SP,GASOLINA C ,m3,579928.01,2022-03-17
2000-1,PR,GASOLINA C ,m3,131275.83,2022-03-17
2000-1,SC,GASOLINA C ,m3,90238.16,2022-03-17
2000-1,RS,GASOLINA C ,m3,155870.85,2022-03-17
2000-1,MS,GASOLINA C ,m3,22586.59,2022-03-17
2000-1,MT,GASOLINA C ,m3,20899.36,2022-03-17
2000-1,GO,GASOLINA C ,m3,58254.69,2022-03-17
2000-1,DF,GASOLINA C ,m3,39257.91,2022-03-17
2000-1,DF,GLP ,m3,10696.42,2022-03-17
2000-1,GO,GLP ,m3,37029.17,2022-03-17
2000-1,MT,GLP ,m3,11961.23,2022-03-17
2000-1,MS,GLP ,m3,11492.65,2022-03-17
2000-1,RS,GLP ,m3,60336.35,2022-03-17
2000-1,SC,GLP ,m3,55996.93,2022-03-17
2000-1,PR,GLP ,m3,55933.8,2022-03-17
2000-1,SP,GLP ,m3,268908.23,2022-03-17
2000-1,RJ,GLP ,m3,70297.99,2022-03-17
2000-1,ES,GLP ,m3,17325.22,2022-03-17
2000-1,MG,GLP ,m3,99925.49,2022-03-17
2000-1,BA,GLP ,m3,57120.87,2022-03-17
2000-1,SE,GLP ,m3,7417.07,2022-03-17
2000-1,AL,GLP ,m3,12319.62,2022-03-17
2000-1,PE,GLP ,m3,37943.79,2022-03-17
2000-1,PB,GLP ,m3,15732.84,2022-03-17
2000-1,RN,GLP ,m3,14917.86,2022-03-17
2000-1,CE,GLP ,m3,31041.61,2022-03-17
2000-1,PI,GLP ,m3,10749.67,2022-03-17
2000-1,MA,GLP ,m3,15488.88,2022-03-17
2000-1,TO,GLP ,m3,6119.78,2022-03-17
2000-1,AP,GLP ,m3,1854.27,2022-03-17
2000-1,PA,GLP ,m3,21712.78,2022-03-17
2000-1,RR,GLP ,m3,1210.62,2022-03-17
2000-1,AM,GLP ,m3,9142.65,2022-03-17
2000-1,AC,GLP ,m3,1959.3,2022-03-17
2000-1,RO,GLP ,m3,5447.45,2022-03-17
2000-1,DF,ETANOL HIDRATADO ,m3,11687.93,2022-03-17
2000-1,GO,ETANOL HIDRATADO ,m3,16683.5,2022-03-17
2000-1,MT,ETANOL HIDRATADO ,m3,5863.24,2022-03-17
2000-1,MS,ETANOL HIDRATADO ,m3,5871.87,2022-03-17
2000-1,RS,ETANOL HIDRATADO ,m3,18374.92,2022-03-17
2000-1,SC,ETANOL HIDRATADO ,m3,16069.64,2022-03-17
